hs_code,country,year,volume,quantity
842810,BY,2022,110.276,43201.0
842810,BY,2023,98.918,43332.0
842810,BY,2024,100.48,41784.0
842810,CN,2022,78.788,24657.0
842810,CN,2023,84.855,25955.0
842810,CN,2024,86.759,25690.0
842810,DE,2022,18.583,2436.0
842810,DE,2023,43.12,4518.0
842810,DE,2024,41.54,4957.0
842810,TR,2022,9.913,2987.0
842810,TR,2023,14.317,4653.0
842810,TR,2024,18.489,5777.0
842810,FI,2022,9,1908.0
842810,FI,2023,15.761,3026.0
842810,FI,2024,10.185,1498.0
842810,GR,2022,9.412,1978.0
842810,GR,2023,7.156,1203.0
842810,GR,2024,9.35,1603.0
842810,CH,2022,13.301,2224.0
842810,CH,2023,12.194,1782.0
842810,CH,2024,6.395,758.0
842810,ES,2022,5.083,856.0
842810,ES,2023,6.03,965.0
842810,ES,2024,5.007,805.0
842810,SK,2022,0,0.0
842810,SK,2023,0,0.0
842810,SK,2024,4.941,858.0
842810,SE,2022,1.327,54.0
842810,SE,2023,1.079,89.0
842810,SE,2024,3.973,185.0
842810,EE,2022,0,0.0
842810,EE,2023,0.089,10.0
842810,EE,2024,3.012,114.0
842810,KR,2022,3.821,731.0
842810,KR,2023,1.617,306.0
842810,KR,2024,2.997,440.0
842810,IT,2022,13.892,2570.0
842810,IT,2023,4.722,300.0
842810,IT,2024,2.551,215.0
842810,UA,2022,0.421,147.0
842810,UA,2023,0.424,117.0
842810,UA,2024,1.867,232.0
842810,PL,2022,1.302,42.0
842810,PL,2023,0.278,27.0
842810,PL,2024,1.777,90.0
842810,RS,2022,2.908,713.0
842810,RS,2023,2.547,609.0
842810,RS,2024,1.599,357.0
842810,LT,2022,1.204,423.0
842810,LT,2023,1.536,647.0
842810,LT,2024,0.94,382.0
842810,DK,2022,0,0.0
842810,DK,2023,0.249,8.0
842810,DK,2024,0.79,24.0
842810,BG,2022,0.49,85.0
842810,BG,2023,0.734,113.0
842810,BG,2024,0.766,116.0
842810,FR,2022,2.849,274.0
842810,FR,2023,1.656,160.0
842810,FR,2024,0.674,61.0
842810,BE,2022,0,0.0
842810,BE,2023,0.631,40.0
842810,BE,2024,0.657,41.0
842810,CZ,2022,1.635,218.0
842810,CZ,2023,1.602,216.0
842810,CZ,2024,0.593,50.0
842810,CA,2022,0,0.0
842810,CA,2023,0,0.0
842810,CA,2024,0.56,16.0
842810,ZA,2022,0,0.0
842810,ZA,2023,0,0.0
842810,ZA,2024,0.459,22.0
842810,TH,2022,0,0.0
842810,TH,2023,0,0.0
842810,TH,2024,0.332,6.0
842810,NL,2022,0.595,23.0
842810,NL,2023,0.267,15.0
842810,NL,2024,0.108,2.0
842810,US,2022,0.02,1.0
842810,US,2023,0.002,0.0
842810,US,2024,0.032,1.0
842810,NO,2022,0,0.0
842810,NO,2023,0.014,0.0
842810,NO,2024,0.011,0.0
842810,AM,2022,0,0.0
842810,AM,2023,0,0.0
842810,AM,2024,0,0.0
842810,KZ,2022,0.049,23.0
842810,KZ,2023,0.066,15.0
842810,KZ,2024,0,0.0
842810,AT,2022,0,0.0
842810,AT,2023,0,0.0
842810,AT,2024,0,0.0
842810,BA,2022,0,0.0
842810,BA,2023,0,0.0
842810,BA,2024,0,0.0
842810,HU,2022,0,0.0
842810,HU,2023,0,0.0
842810,HU,2024,0,0.0
842810,JP,2022,0,0.0
842810,JP,2023,0.002,0.0
842810,JP,2024,0,0.0
842810,LV,2022,0,0.0
842810,LV,2023,0,0.0
842810,LV,2024,0,0.0
842810,LU,2022,0.235,2.0
842810,LU,2023,0,0.0
842810,LU,2024,0,0.0
842810,TW,2022,0,0.0
842810,TW,2023,0,0.0
842810,TW,2024,0,0.0
842810,IN,2022,0.01,1.0
842810,IN,2023,0,0.0
842810,IN,2024,0,0.0
842810,VN,2022,0,0.0
842810,VN,2023,0,0.0
842810,VN,2024,0,0.0
842810,SI,2022,0.253,41.0
842810,SI,2023,0.101,12.0
842810,SI,2024,0,0.0
842810,GB,2022,0.019,1.0
842810,GB,2023,0.026,1.0
842810,GB,2024,0,0.0
330300,FR,2022,316.569,6887.0
330300,FR,2023,176.841,4236.0
330300,FR,2024,287.72,6094.0
330300,IT,2022,64.796,1444.0
330300,IT,2023,42.537,854.0
330300,IT,2024,72.193,1475.0
330300,ES,2022,52.434,2209.0
330300,ES,2023,34.301,1796.0
330300,ES,2024,51.377,2273.0
330300,PL,2022,27.625,2571.0
330300,PL,2023,28.326,2414.0
330300,PL,2024,35.864,2322.0
330300,DE,2022,32.689,1030.0
330300,DE,2023,17.981,684.0
330300,DE,2024,27.41,886.0
330300,US,2022,17.038,493.0
330300,US,2023,11.432,406.0
330300,US,2024,18.953,574.0
330300,GB,2022,18.249,223.0
330300,GB,2023,14.931,177.0
330300,GB,2024,16.448,201.0
330300,CH,2022,8.119,172.0
330300,CH,2023,3.693,85.0
330300,CH,2024,7.058,179.0
