"code","name","region","is_friendly"
"AB","Абхазия","Азия",1
"AU","Австралия","Прочее",0
"AT","Австрия","Европа",0
"AZ","Азербайджан","СНГ",1
"AX","Аландские острова","Прочее",1
"AL","Албания","Европа",0
"DZ","Алжир","Сев. Африка и Ближний Восток",1
"AS","Американское Самоа","Прочее",1
"AI","Ангилья","Прочее",0
"AO","Ангола","Африка",1
"AD","Андорра","Европа",0
"AQ","Антарктида","Прочее",1
"AG","Антигуа и Барбуда","Лат. Америка",1
"AR","Аргентина","Лат. Америка",1
"AM","Армения","СНГ",1
"AW","Аруба","Лат. Америка",1
"AF","Афганистан","Азия",1
"BS","Багамские острова","Прочее",0
"BD","Бангладеш","Азия",1
"BB","Барбадос","Прочее",1
"BH","Бахрейн","Сев. Африка и Ближний Восток",1
"BZ","Белиз","Лат. Америка",1
"BY","Белоруссия","СНГ",1
"BE","Бельгия","Европа",0
"BJ","Бенин","Африка",1
"BM","Бермудские острова","Прочее",1
"BG","Болгария","Европа",0
"ВО","Боливия","Лат. Америка",1
"BQ","Бонэйр","Прочее",1
"BA","Босния и Герцеговина","Европа",1
"BW","Ботсвана","Африка",1
"BR","Бразилия","Лат. Америка",1
"IO","Британская Территория в Индийском Океане","Прочее",1
"BN","Бруней","Азия",1
"BF","Буркина-Фасо","Африка",1
"BI","Бурунди","Африка",1
"BT","Бутан","Азия",1
"VU","Вануату","Азия",1
"VA","Ватикан","Прочее",1
"GB","Великобритания","Европа",0
"HU","Венгрия","Европа",0
"VE","Венесуэла","Лат. Америка",1
"VG","Виргинские острова (Британские)","Прочее",0
"VI","Виргинские острова (США)","Прочее",0
"UM","Внешние малые острова США","Прочее",1
"TL","Восточный Тимор","Азия",1
"VN","Вьетнам","Юго-Восточная Азия",1
"GA","Габон","Африка",1
"HT","Гаити","Прочее",1
"GY","Гайана","Лат. Америка",1
"GM","Гамбия","Африка",1
"GH","Гана","Африка",1
"GP","Гваделупа","Лат. Америка",1
"GT","Гватемала","Лат. Америка",1
"GN","Гвинея","Африка",1
"GW","Гвинея-Бисау","Африка",1
"DE","Германия","Европа",0
"GG","Гернси","Прочее",0
"GI","Гибралтар","Прочее",0
"HN","Гондурас","Лат. Америка",1
"HK","Гонконг","Азия",1
"PS","Государство Палестина","Сев. Африка и Ближний Восток",1
"GD","Гренада","Лат. Америка",1
"GL","Гренландия","Прочее",1
"GR","Греция","Европа",0
"GE","Грузия","Азия",1
"GU","Гуам","Прочее",1
"DK","Дания","Европа",0
"CD","Демократическая Республика Конго","Африка",1
"JE","Джерси","Прочее",0
"DJ","Джибути","Сев. Африка и Ближний Восток",1
"DM","Доминика","Лат. Америка",1
"DO","Доминиканская Республика","Прочее",1
"EG","Египет","Сев. Африка и Ближний Восток",1
"ZM","Замбия","Африка",1
"EH","Западная Сахара","Африка",1
"ZW","Зимбабве","Африка",1
"IL","Израиль","Сев. Африка и Ближний Восток",1
"IN","Индия","Азия",1
"ID","Индонезия","Юго-Восточная Азия",1
"JO","Иордания","Сев. Африка и Ближний Восток",1
"IQ","Ирак","Сев. Африка и Ближний Восток",1
"IR","Иран","Азия",1
"IE","Ирландия","Европа",0
"IS","Исландия","Европа",0
"ES","Испания","Европа",0
"IT","Италия","Европа",0
"YE","Йемен","Сев. Африка и Ближний Восток",1
"CV","Кабо-Верде","Африка",1
"KZ","Казахстан","СНГ",1
"KY","Каймановы острова","Прочее",1
"KH","Камбоджа","Юго-Восточная Азия",1
"CM","Камерун","Африка",1
"CA","Канада","Прочее",0
"QA","Катар","Сев. Африка и Ближний Восток",1
"KE","Кения","Африка",1
"CY","Кипр","Азия",0
"KG","Киргизия","СНГ",1
"KI","Кирибати","Азия",1
"CN","Китай","Азия",1
"CC","Кокосовые острова","Прочее",1
"CO","Колумбия","Лат. Америка",1
"KM","Коморы","Прочее",1
"CR","Коста-Рика","Лат. Америка",1
"CI","Кот Д`ивуар","Африка",1
"CU","Куба","Лат. Америка",1
"KW","Кувейт","Сев. Африка и Ближний Восток",1
"CW","Кюрасао","Лат. Америка",1
"LA","Лаос","Азия",1
"LV","Латвия","Европа",0
"LS","Лесото","Африка",1
"LR","Либерия","Африка",1
"LB","Ливан","Сев. Африка и Ближний Восток",1
"LY","Ливия","Сев. Африка и Ближний Восток",1
"LT","Литва","Европа",0
"LI","Лихтенштейн","Европа",0
"LU","Люксембург","Европа",0
"MU","Маврикий","Африка",1
"MR","Мавритания","Африка",1
"MG","Мадагаскар","Африка",1
"YN","Майотта","Прочее",1
"MO","Макао","Азия",1
"MW","Малави","Прочее",1
"MY","Малайзия","Юго-Восточная Азия",1
"ML","Мали","Африка",1
"MV","Мальдивы","Азия",1
"MT","Мальта","Сев. Африка и Ближний Восток",0
"MA","Марокко","Сев. Африка и Ближний Восток",1
"MQ","Мартиника","Прочее",1
"MH","Маршалловы острова","Прочее",1
"MX","Мексика","Лат. Америка",1
"FM","Микронезия","Азия",0
"MZ","Мозамбик","Африка",1
"MD","Молдова","СНГ",1
"MC","Монако","Европа",0
"MN","Монголия","Азия",1
"MS","Монтсеррат","Прочее",1
"MM","Мьянма (Бирма)","Юго-Восточная Азия",1
"NA","Намиби","Африка",1
"NR","Науру","Прочее",1
,"Неизвестная Страна","Прочее",1
"NP","Непал","Азия",1
"NE","Нигер","Африка",1
"NG","Нигерия","Африка",1
"NL","Нидерланды","Европа",0
"NI","Никарагуа","Лат. Америка",1
"NU","Ниуэ","Прочее",1
"NZ","Новая Зеландия","Прочее",0
"NC","Новая Каледония","Прочее",1
"NO","Норвегия","Европа",0
"NF","Норфолк","Прочее",1
"AE","Объединенные Арабские Эмираты","Сев. Африка и Ближний Восток",1
"OM","Оман","Сев. Африка и Ближний Восток",1
"BV","Остров Буве","Прочее",1
"IM","Остров Мэн","Прочее",0
"CX","Остров Рождества","Прочее",1
"HM","Остров Херд и острова Макдональд","Прочее",1
"CK","острова Кука","Прочее",1
"PN","Острова Питкэрн","Прочее",1
"SH","Острова Святой Елены, Вознесения и Тристан-да-Кунья","Прочее",1
"TC","острова Теркс и Кайкос","Прочее",1
"PK","Пакистан","Азия",1
"PW","Палау","Прочее",1
"PA","Панама","Лат. Америка",1
"PG","Папуа Новая Гвинея","Африка",1
"PY","Парагвай","Лат. Америка",1
"PE","Перу","Лат. Америка",1
"PL","Польша","Европа",0
"PT","Португалия","Европа",0
"PR","Пуэрто-Рико","Лат. Америка",1
"CG","Республика Конго","Африка",1
"RE","Реюньон","Прочее",1
"RU","Россия","Азия",1
"RW","Руанда","Африка",1
"RO","Румыния","Европа",0
"SV","Сальвадор","Лат. Америка",1
"WS","Самоа","Африка",1
"SM","Сан-Марино","Европа",0
"ST","Сан-Томе и Принсипи","Прочее",1
"SA","Саудовская Аравия","Сев. Африка и Ближний Восток",1
"KP","Северная Корея","Азия",1
"MK","Северная Македония","Европа",0
"MP","Северные Марианские острова","Прочее",1
"SC","Сейшелы","Африка",1
"BL","Сен-Бартелеми","Прочее",1
"SN","Сенегал","Африка",1
"SX","Сен-Мартен","Прочее",1
"PM","Сен-Пьер и Микелон","Прочее",1
"VC","Сент-Винсент и Гренадины","Прочее",1
"KN","Сент-Китс и Невис","Прочее",1
"LC","Сент-Люсия","Прочее",1
"RS","Сербия","Европа",1
"SG","Сингапур","Юго-Восточная Азия",0
"MF","Синт-Мартен","Прочее",1
"SY","Сирия","Азия",1
"SK","Словакия","Европа",0
"SI","Словения","Европа",0
"US","Соединенные Штаты","Прочее",0
"SB","Соломоновы острова","Прочее",1
"SOСОМАЛИ","Сомали","Африка",1
,"Страны ЕС","Европа",1
"SD","Судан","Африка",1
"SR","Суринам","Лат. Америка",1
"SL","Сьерра-Леоне","Африка",1
"TJ","Таджикистан","СНГ",1
"TH","Таиланд","Юго-Восточная Азия",1
"TW","Тайвань","Азия",0
"TZ","Танзания","Африка",1
"TG","Того","Африка",1
"TK","Токелау","Прочее",1
"TO","Тонга","Прочее",1
