"code","description"
"0101 21","Лошади, ослы, мулы и лошаки живые:лошади:чистопородные племенные животные"
"0101 29","Лошади, ослы, мулы и лошаки живые:лошади:прочие"
"0101 30","Лошади, ослы, мулы и лошаки живые:ослы"
"0101 90","Лошади, ослы, мулы и лошаки живые:прочие"
"0102 21","Крупный рогатый скот живой:домашний крупный рогатый скот:чистопородные племенные животные"
"0102 29","Крупный рогатый скот живой: домашний крупный рогатый скот:прочие"
"0102 31","Крупный рогатый скот живой:буйволы:чистопородные племенные животные"
"0102 39","Крупный рогатый скот живой:буйволы:прочие"
"0102 90","Крупный рогатый скот живой:прочие"
"0103 10","Свиньи живые:чистопородные племенные животные"
"0103 91","Свиньи живые:прочие: массой менее 50 кг"
"0103 92","Свиньи живые:прочие: массой 50 кг или более"
"0104 10","Овцы и козы живые:овцы"
"0104 20","Овцы и козы живые:козы"
"0105 11","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:массой не более 185 г:куры домашние (Gallus domesticus)"
"0105 12","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:массой не более 185 г:индейки"
"0105 13","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:массой не более 185 г:утки"
"0105 14","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:массой не более 185 г:гуси"
"0105 15","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:массой не более 185 г:цесарки"
"0105 94","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:прочие: куры домашние (Gallus domesticus)"
"0105 99","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:прочие: прочие"
"0106 11","Живые животные прочие:млекопитающие:приматы"
"0106 12","Живые животные прочие:млекопитающие:киты, дельфины и морские свиньи (млекопитающие отряда Cetacea); ламантины и дюгони (млекопитающие отряда Sirenia); тюлени, морские львы и моржи (млекопитающие подотряда Pinnipedia)"
"0106 13","Верблюды и прочие животные семейства верблюдовых живые"
"0106 14","Живые животные прочие:млекопитающие:кролики и зайцы"
"0106 19","Живые животные прочие:млекопитающие:прочие"
"0106 20","Живые животные прочие:рептилии (включая змей и черепах)"
"0106 31","Живые животные прочие:птицы:хищные птицы"
"0106 32","Живые животные прочие:птицы:попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)"
"0106 33","Живые животные прочие:птицы:страусы; эму (Dromaius novaehollandiae)"
"0106 39","Живые животные прочие:птицы:прочие"
"0106 41","Живые животные прочие:насекомые:пчелы"
"0106 49","Живые животные прочие:насекомые:прочие"
"0106 90","Живые животные прочие:прочие"
"0201 10","Мясо крупного рогатого скота, свежее или охлажденное:туши и полутуши"
"0201 20","Мясо крупного рогатого скота, свежее или охлажденное:прочие отруба, необваленные"
"0201 30","Мясо крупного рогатого скота, замороженное:мясо обваленное"
"0202 10","Мясо крупного рогатого скота, замороженное:туши и полутуши"
"0202 20","Мясо крупного рогатого скота, замороженное:прочие отруба, необваленные"
"0202 30","Мясо крупного рогатого скота, замороженное:мясо обваленное"
"0203 11","Свинина свежая, охлажденная или замороженная:свежая или охлажденная:туши и полутуши"
"0203 12","Свинина свежая, охлажденная или замороженная:свежая или охлажденная:окорока, лопатки и отруба из них, необваленные"
"0203 19","Свинина свежая, охлажденная или замороженная:свежая или охлажденная:прочая"
"0203 21","Свинина свежая, охлажденная или замороженная:замороженная:туши и полутуши"
"0203 22","Свинина свежая, охлажденная или замороженная:замороженная:окорока, лопатки и отруба из них, необваленные"
"0203 29","Свинина свежая, охлажденная или замороженная:замороженная:прочая"
"0204 10","Баранина или козлятина свежая, охлажденная или замороженная:туши и полутуши ягнят, свежие или охлажденные"
"0204 21","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, свежая или охлажденная:туши и полутуши"
"0204 22","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, свежая или охлажденная:прочие отруба, необваленные"
"0204 23","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, свежая или охлажденная:мясо обваленное"
"0204 30","Баранина или козлятина свежая, охлажденная или замороженная:туши и полутуши ягнят, замороженные"
"0204 41","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, замороженная:туши и полутуши"
"0204 42","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, замороженная:прочие отруба, необваленные"
"0204 43","Баранина или козлятина свежая, охлажденная или замороженная:прочая баранина, замороженная:мясо обваленное"
"0204 50","Баранина или козлятина свежая, охлажденная или замороженная:козлятина"
"0205 00","Мясо лошадей, ослов, мулов или лошаков, свежее, охлажденное или замороженное"
"0206 10","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:крупного рогатого скота, свежие или охлажденные"
"0206 21","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:крупного рогатого скота, замороженные:языки"
"0206 22","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:крупного рогатого скота, замороженные:печень"
"0206 29","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:крупного рогатого скота, замороженные:прочие"
"0206 30","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:свиней, свежие или охлажденные"
"0206 41","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:свиней, замороженные:печень"
"0206 49","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные: свиней, замороженные: прочие"
"0206 80","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:свежие или охлажденные прочие"
"0206 90","Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:замороженные прочие"
"0207 11","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:кур домашних (Gallus domesticus):не разделенные на части, свежие или охлажденные"
"0207 12","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:кур домашних (Gallus domesticus):не разделенные на части, замороженные"
"0207 13","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:кур домашних (Gallus domesticus):части тушек и субпродукты, свежие или охлажденные"
"0207 14","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:кур домашних (Gallus domesticus):части тушек и субпродукты, замороженные"
"0207 24","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:индеек:не разделенные на части, свежие или охлажденные"
"0207 25","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:индеек:не разделенные на части, замороженные"
"0207 26","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:индеек:части тушек и субпродукты, свежие или охлажденные"
"0207 27","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:индеек:части тушек и субпродукты, замороженные"
"0207 41","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:уток:не разделенные на части, свежие или охлажденные"
"0207 42","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:уток:не разделенные на части, замороженные"
"0207 43","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:уток:жирная печень, свежая или охлажденная"
"0207 44","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:уток:прочие, свежие или охлажденные"
"0207 45","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:уток:прочие, замороженные"
"0207 51","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:гусей:не разделенные на части, свежие или охлажденные"
"0207 52","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:гусей:не разделенные на части, замороженные"
"0207 53","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:гусей:жирная печень, свежая или охлажденная"
"0207 54","Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:гусей:прочие, свежие или охлажденные"
